,0
0,-8.042554805676142
1,-8.042554805676142
2,-8.042554805676142
3,-8.042554805676142
4,-8.042554805676142
5,-8.042554805676142
6,-8.042554805676142
7,-8.042554805676142
8,-8.042554805676142
9,-8.042554805676142
10,-8.042554805676142
11,-8.042554805676142
12,-8.042554805676142
13,-8.042554805676142
14,-8.042554805676142
15,-8.042554805676142
16,-8.042554805676142
17,-8.042554805676142
18,-8.042554805676142
19,-8.042554805676142
20,-8.042554805676142
21,-8.042554805676142
22,-8.042554805676142
23,-8.042554805676142
24,-8.042554805676142
25,-8.042554805676142
26,-8.042554805676142
27,-8.042554805676142
28,-8.042554805676142
29,-8.042554805676142
30,-8.042554805676142
31,-8.042554805676142
32,-8.042554805676142
33,-8.042554805676142
34,-8.042554805676142
35,-8.042554805676142
36,-8.042554805676142
37,-8.042554805676142
38,-8.042554805676142
39,-8.042554805676142
40,-8.042554805676142
41,-8.042554805676142
42,-8.042554805676142
43,-8.026846690821307
44,-8.026846690821307
45,-8.026846690821307
46,-8.026846690821307
47,-8.026846690821307
48,-8.026846690821307
49,-8.026846690821307
50,-7.901427211277223
51,-7.901427211277223
52,-7.901427211277223
53,-7.901427211277223
54,-7.901427211277223
55,-7.901427211277223
56,-7.901427211277223
57,-7.901427211277223
58,-7.901427211277223
59,-7.901427211277223
60,-7.901427211277223
61,-7.901427211277223
62,-7.901427211277223
63,-7.901427211277223
64,-7.901427211277223
65,-7.901427211277223
66,-7.901427211277223
67,-7.901427211277223
68,-7.901427211277223
69,-7.901427211277223
70,-7.901427211277223
71,-7.901427211277223
72,-7.901427211277223
73,-7.901427211277223
74,-7.901427211277223
75,-7.901427211277223
76,-7.901427211277223
77,-7.901427211277223
78,-7.901427211277223
79,-7.901427211277223
80,-7.901427211277223
81,-7.901427211277223
82,-7.901427211277223
83,-7.901427211277223
84,-7.901427211277223
85,-7.901427211277223
86,-7.901427211277223
87,-7.901427211277223
88,-7.901427211277223
89,-7.901427211277223
90,-7.901427211277223
91,-7.901427211277223
92,-7.901427211277223
93,-7.901427211277223
94,-7.901427211277223
95,-7.901427211277223
96,-7.901427211277223
97,-7.901427211277223
98,-7.901427211277223
99,-7.885994736255197
100,-7.885994736255197
101,-7.885994736255197
102,-7.885994736255197
103,-7.885994736255197
104,-7.885994736255197
105,-7.885994736255197
106,-7.885994736255197
107,-7.885994736255197
108,-7.885994736255197
109,-7.885994736255197
110,-7.885994736255197
111,-7.885994736255197
112,-7.885994736255197
113,-7.885994736255197
114,-7.885994736255197
115,-7.885994736255197
116,-7.885994736255197
117,-7.885994736255197
118,-7.885994736255197
119,-7.885994736255197
120,-7.885994736255197
121,-7.885994736255197
122,-7.885994736255197
123,-7.885994736255197
124,-7.885994736255197
125,-7.885994736255197
126,-7.885994736255197
127,-7.885994736255197
128,-7.885994736255197
129,-7.885994736255197
130,-7.885994736255197
131,-7.885994736255197
132,-7.885994736255197
133,-7.885994736255197
134,-7.885994736255197
135,-7.885994736255197
136,-7.885994736255197
137,-7.885994736255197
138,-7.885994736255197
139,-7.885994736255197
140,-7.885994736255197
141,-7.885994736255197
142,-7.3931200652392475
143,-7.3931200652392475
144,-7.3931200652392475
145,-7.3931200652392475
146,-7.3931200652392475
147,-7.3931200652392475
148,-7.3931200652392475
149,-7.3931200652392475
150,-7.3931200652392475
151,-7.3931200652392475
152,-7.3931200652392475
153,-7.3931200652392475
154,-7.3931200652392475
155,-7.3931200652392475
156,-7.3931200652392475
157,-7.3931200652392475
158,-7.3931200652392475
159,-7.3931200652392475
160,-7.3931200652392475
161,-7.3931200652392475
162,-7.3931200652392475
163,-7.3931200652392475
164,-7.3931200652392475
165,-7.3931200652392475
166,-7.3931200652392475
167,-7.3931200652392475
168,-7.3931200652392475
169,-7.3931200652392475
170,-7.3931200652392475
171,-7.3931200652392475
172,-7.3931200652392475
173,-7.3931200652392475
174,-7.3931200652392475
175,-7.3931200652392475
176,-7.3931200652392475
177,-7.3931200652392475
178,-7.3931200652392475
179,-7.3931200652392475
180,-7.3931200652392475
181,-7.3931200652392475
182,-7.3931200652392475
183,-7.378680377611827
184,-7.378680377611827
185,-7.378680377611827
186,-7.378680377611827
187,-7.378680377611827
188,-7.378680377611827
189,-7.378680377611827
190,-7.378680377611827
191,-7.378680377611827
192,-7.378680377611827
193,-7.378680377611827
194,-7.378680377611827
195,-7.378680377611827
196,-7.378680377611827
197,-7.378680377611827
198,-7.378680377611827
199,-7.378680377611827
200,-7.378680377611827
201,-7.378680377611827
202,-7.378680377611827
203,-7.378680377611827
204,-7.378680377611827
205,-7.378680377611827
206,-7.378680377611827
207,-7.378680377611827
208,-7.378680377611827
209,-7.378680377611827
210,-7.378680377611827
211,-7.378680377611827
212,-7.378680377611827
213,-7.378680377611827
214,-7.378680377611827
215,-7.378680377611827
216,-7.378680377611827
217,-7.378680377611827
218,-7.378680377611827
219,-7.378680377611827
220,-7.378680377611827
221,-7.378680377611827
222,-7.378680377611827
223,-7.378680377611827
224,-7.378680377611827
225,-7.378680377611827
226,-7.378680377611827
227,-7.378680377611827
228,-7.378680377611827
229,-7.378680377611827
230,-7.378680377611827
231,-7.378680377611827
232,-7.378680377611827
233,-7.378680377611827
234,-7.378680377611827
235,-7.378680377611827
236,-7.364268892499305
237,-7.364268892499305
238,-7.349885554818642
239,-7.349885554818642
240,-7.349885554818642
241,-7.349885554818642
242,-7.349885554818642
243,-7.349885554818642
244,-7.3211750643701325
245,-7.306875894322534
246,-7.306875894322534
247,-7.2497909263981395
248,-7.2497909263981395
249,-7.2497909263981395
250,-7.1931519347856545
251,-7.1931519347856545
252,-7.179102809913027
253,-7.179102809913027
254,-7.179102809913027
255,-7.179102809913027
256,-7.165081124737415
257,-7.109103928450405
258,-7.109103928450405
259,-7.109103928450405
260,-7.109103928450405
261,-7.109103928450405
262,-7.109103928450405
263,-7.0952189598401505
264,-7.081361110309213
265,-7.0675303268906395
266,-7.053726556720932
267,-7.053726556720932
268,-7.026172937358739
269,-7.026172937358739
270,-7.012449943340461
271,-6.998753752044875
272,-6.998753752044875
273,-6.97141487020095
274,-6.97141487020095
275,-6.957798825532588
276,-6.944209374701471
277,-6.930646465766506
278,-6.917110046888056
279,-6.903600066327727
280,-6.903600066327727
281,-6.876632878568635
282,-6.876632878568635
283,-6.849771031386727
284,-6.849771031386727
285,-6.83639257234105
286,-6.809687913855343
287,-6.809687913855343
288,-6.796387742148594
289,-6.783113547339711
290,-6.769865278692563
291,-6.756642885570116
292,-6.743446317434238
293,-6.730275523845497
294,-6.717130454462988
295,-6.704011059044115
296,-6.690917287444418
297,-6.6778490896173786
298,-6.664806415614219
299,-6.651789215583723
300,-6.638797439772037
301,-6.612864637272927
302,-6.612864637272927
303,-6.612864637272927
304,-6.574117383538906
305,-6.574117383538906
306,-6.548437237509457
307,-6.548437237509457
308,-6.522857404550436
309,-6.510117448682175
310,-6.510117448682175
311,-6.510117448682175
312,-6.510117448682175
313,-6.510117448682175
314,-6.510117448682175
315,-6.446542082972385
316,-6.345814862925943
317,-6.345814862925943
318,-6.345814862925943
319,-6.345814862925943
320,-6.345814862925943
321,-6.3334206932717905
322,-6.321050730980244
323,-6.308704928771298
324,-6.296383239457291
325,-6.296383239457291
326,-6.271787992428161
327,-6.247288820582738
328,-6.235087084605038
329,-6.235087084605038
330,-6.222909180142919
331,-6.222909180142919
332,-6.222909180142919
333,-6.1742927021730525
334,-6.150174371305188
335,-6.138162311986234
336,-6.138162311986234
337,-6.126173713720635
338,-6.1142085306860245
339,-6.102266717149528
340,-6.0903482274675955
341,-6.0665578047040505
342,-6.0665578047040505
343,-6.054709058991738
344,-6.0428834553608946
345,-6.0428834553608946
346,-6.0428834553608946
347,-5.948463401370881
348,-5.948463401370881
349,-5.85551866072446
350,-5.85551866072446
351,-5.85551866072446
352,-5.85551866072446
353,-5.85551866072446
354,-5.85551866072446
355,-5.8440821008402315
356,-5.8440821008402315
357,-5.821253655133825
358,-5.809884019088641
359,-5.787189159639076
360,-5.787189159639076
361,-5.7758860558116565
362,-5.7758860558116565
363,-5.719480918547871
364,-5.708310057378833
365,-5.708310057378833
366,-5.686011971217197
367,-5.663800986954628
368,-5.663800986954628
369,-5.663800986954628
370,-5.6084904304414005
371,-5.597536347569445
372,-5.510074842138673
373,-5.510074842138673
374,-5.510074842138673
375,-5.510074842138673
376,-5.510074842138673
377,-5.510074842138673
378,-5.488551112286568
379,-5.488551112286568
380,-5.445671806721829
381,-5.392491417984311
382,-5.392491417984311
383,-5.392491417984311
384,-5.392491417984311
385,-5.276637110176055
386,-5.276637110176055
387,-5.266331178320242
388,-5.266331178320242
389,-5.266331178320242
390,-5.266331178320242
391,-5.266331178320242
392,-5.266331178320242
393,-5.266331178320242
394,-5.266331178320242
395,-5.266331178320242
396,-5.266331178320242
397,-5.266331178320242
398,-5.266331178320242
399,-5.266331178320242
400,-5.266331178320242
401,-5.266331178320242
402,-5.266331178320242
403,-5.266331178320242
404,-5.266331178320242
405,-5.266331178320242
406,-5.266331178320242
407,-5.266331178320242
408,-5.266331178320242
409,-5.266331178320242
410,-5.266331178320242
411,-5.266331178320242
412,-5.266331178320242
413,-5.266331178320242
414,-5.266331178320242
415,-5.266331178320242
416,-5.266331178320242
417,-5.266331178320242
418,-5.266331178320242
419,-5.266331178320242
420,-5.266331178320242
421,-5.266331178320242
422,-5.266331178320242
423,-5.266331178320242
424,-5.266331178320242
425,-5.266331178320242
426,-5.266331178320242
427,-5.266331178320242
428,-5.266331178320242
429,-5.266331178320242
430,-5.266331178320242
431,-5.266331178320242
432,-5.266331178320242
433,-5.266331178320242
434,-5.266331178320242
435,-5.266331178320242
436,-5.266331178320242
437,-5.266331178320242
438,-5.266331178320242
439,-5.266331178320242
440,-5.266331178320242
441,-5.266331178320242
442,-5.266331178320242
443,-5.266331178320242
444,-5.266331178320242
445,-3.949748383740181
446,-3.949748383740181
447,-3.949748383740181
448,-3.949748383740181
449,-3.949748383740181
450,-3.949748383740181
451,-3.949748383740181
452,-3.949748383740181
453,-3.949748383740181
454,-3.949748383740181
455,-3.949748383740181
456,-3.949748383740181
457,-3.949748383740181
458,-3.949748383740181
459,-3.949748383740181
460,-3.949748383740181
461,-3.949748383740181
462,-3.949748383740181
463,-3.949748383740181
464,-3.949748383740181
465,-3.949748383740181
466,-3.949748383740181
467,-3.949748383740181
468,-3.949748383740181
469,-3.949748383740181
470,-3.949748383740181
471,-3.949748383740181
472,-3.949748383740181
473,-3.934319679116196
474,-3.934319679116196
475,-3.934319679116196
476,-3.934319679116196
477,-3.934319679116196
478,-3.934319679116196
479,-3.934319679116196
480,-3.934319679116196
481,-3.934319679116196
482,-3.934319679116196
483,-3.934319679116196
484,-3.934319679116196
485,-3.934319679116196
486,-3.934319679116196
487,-3.934319679116196
488,-3.934319679116196
489,-3.934319679116196
490,-3.934319679116196
491,-3.934319679116196
492,-3.934319679116196
493,-3.934319679116196
494,-3.934319679116196
495,-3.934319679116196
496,-3.918951242869648
497,-3.903642839577189
498,-3.8731456298929934
499,-3.8731456298929934
500,-3.842886679659453
501,-3.827875403567034
502,-3.81292276527185
503,-3.81292276527185
504,-3.7682400766163204
505,-3.7682400766163204
506,-3.7388007010177553
507,-3.7388007010177553
508,-3.7095913205410542
509,-3.7095913205410542
510,-3.680610138349328
511,-3.680610138349328
512,-3.651855371643473
513,-3.637590311597991
514,-3.623380974443311
515,-3.623380974443311
516,-3.595073310580473
517,-3.5810300554610186
518,-3.567041656806874
519,-3.5531079003349726
520,-3.5531079003349726
521,-3.5531079003349726
522,-3.4975905893922388
523,-3.4975905893922388
524,-3.4975905893922388
525,-3.4975905893922388
526,-3.4975905893922388
527,-3.4975905893922388
528,-3.4975905893922388
529,-3.4975905893922388
530,-3.4975905893922388
531,-3.4975905893922388
532,-3.4975905893922388
533,-3.2789911775552225
534,-3.2789911775552225
535,-3.2789911775552225
536,-3.2789911775552225
537,-3.266182618267899
538,-3.266182618267899
539,-3.266182618267899
540,-3.266182618267899
541,-3.266182618267899
542,-3.266182618267899
543,-3.2534240924152895
544,-3.240715404554293
545,-3.2280563600052523
546,-3.2280563600052523
547,-3.2280563600052523
548,-3.2280563600052523
549,-3.2280563600052523
550,-3.2280563600052523
551,-3.2280563600052523
552,-3.2280563600052523
553,-3.2280563600052523
554,-3.2280563600052523
555,-3.2280563600052523
556,-3.2280563600052523
557,-3.2280563600052523
558,-3.2280563600052523
559,-3.2280563600052523
560,-3.2280563600052523
561,-3.2280563600052523
562,-3.2280563600052523
563,-3.2280563600052523
564,-3.2280563600052523
565,-3.2280563600052523
566,-3.2280563600052523
567,-3.2280563600052523
568,-3.2280563600052523
569,-3.2280563600052523
570,-3.2280563600052523
571,-3.2280563600052523
572,-3.2280563600052523
573,-3.2280563600052523
574,-3.2280563600052523
575,-3.2280563600052523
576,-3.2280563600052523
577,-3.2280563600052523
578,-3.2280563600052523
579,-3.2280563600052523
580,-3.2280563600052523
581,-3.2280563600052523
582,-3.2280563600052523
583,-3.2280563600052523
584,-3.2280563600052523
585,-3.2280563600052523
586,-3.2280563600052523
587,-3.2280563600052523
588,-3.2280563600052523
589,-3.2280563600052523
590,-3.2280563600052523
591,-3.2280563600052523
592,-3.2280563600052523
593,-3.2280563600052523
594,-3.2280563600052523
595,-3.2280563600052523
596,-3.2280563600052523
597,-3.2280563600052523
598,-3.2280563600052523
599,-3.2280563600052523
600,-3.2280563600052523
601,-3.2280563600052523
602,-3.2280563600052523
603,-3.2280563600052523
604,-3.2280563600052523
605,-3.2280563600052523
606,-3.2280563600052523
607,-3.1271795987550886
608,-3.1271795987550886
609,-3.1271795987550886
610,-3.1271795987550886
611,-3.1271795987550886
612,-3.1271795987550886
613,-3.1271795987550886
614,-3.1271795987550886
615,-3.1271795987550886
616,-3.1271795987550886
617,-3.1271795987550886
618,-3.1271795987550886
619,-3.1271795987550886
620,-3.0050241456787177
621,-3.0050241456787177
622,-3.0050241456787177
623,-3.0050241456787177
624,-3.0050241456787177
625,-3.0050241456787177
626,-3.0050241456787177
627,-3.0050241456787177
628,-3.0050241456787177
629,-3.0050241456787177
630,-3.0050241456787177
631,-3.0050241456787177
632,-3.0050241456787177
633,-3.0050241456787177
634,-3.0050241456787177
635,-3.0050241456787177
636,-3.0050241456787177
637,-3.0050241456787177
638,-3.0050241456787177
639,-3.0050241456787177
640,-3.0050241456787177
641,-3.0050241456787177
642,-3.0050241456787177
643,-3.0050241456787177
644,-3.0050241456787177
645,-3.0050241456787177
646,-3.0050241456787177
647,-3.0050241456787177
648,-3.0050241456787177
649,-3.0050241456787177
650,-3.0050241456787177
651,-3.0050241456787177
652,-3.0050241456787177
653,-3.0050241456787177
654,-3.0050241456787177
655,-3.0050241456787177
656,-3.0050241456787177
657,-3.0050241456787177
658,-3.0050241456787177
659,-3.0050241456787177
660,-3.0050241456787177
661,-3.0050241456787177
662,-3.0050241456787177
663,-3.0050241456787177
664,-3.0050241456787177
665,-3.0050241456787177
666,-3.0050241456787177
667,-3.0050241456787177
668,-3.0050241456787177
669,-3.0050241456787177
670,-3.0050241456787177
671,-3.0050241456787177
672,-3.0050241456787177
673,-3.0050241456787177
674,-3.0050241456787177
675,-3.0050241456787177
676,-3.0050241456787177
677,-3.0050241456787177
678,-3.0050241456787177
679,-3.0050241456787177
680,-3.0050241456787177
681,-3.0050241456787177
682,-3.0050241456787177
683,-3.0050241456787177
684,-3.0050241456787177
685,-3.0050241456787177
686,-3.0050241456787177
687,-3.0050241456787177
688,-3.0050241456787177
689,-3.0050241456787177
690,-3.0050241456787177
691,-3.0050241456787177
692,-3.0050241456787177
